Customer ID,Recency,Frequency,Monetary,AvgOrderValue,TransaksiPerHari,TransactionRate,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Customer_Category,Cluster_KMeans,Cluster_DBSCAN,Cluster_Agglomerative
12747.0,2,11,4180.0599999999995,380.0054545454545,5.5,0.5,5,5,5,15,555,Champions,1,0,0
12748.0,1,203,29238.0,144.0295566502463,203.0,1.0,5,5,5,15,555,Champions,6,-1,4
12749.0,4,5,4040.88,808.176,1.25,0.25,5,4,5,14,545,Champions,0,1,5
12820.0,3,4,942.34,235.585,1.3333333333333333,0.3333333333333333,5,4,4,13,544,Champions,2,1,0
12821.0,214,1,92.72,92.72,0.004672897196261682,0.004672897196261682,1,1,1,3,111,Lost,5,1,2
12822.0,71,2,948.88,474.44,0.028169014084507043,0.014084507042253521,2,2,4,8,224,Lost,2,1,0
12823.0,75,5,1759.5,351.9,0.06666666666666667,0.013333333333333334,2,4,4,10,244,At Risk,2,1,0
12824.0,60,1,397.12,397.12,0.016666666666666666,0.016666666666666666,3,1,2,6,312,Others,2,1,0
12826.0,3,7,1465.6000000000001,209.3714285714286,2.3333333333333335,0.3333333333333333,5,5,4,14,554,Champions,1,1,0
12827.0,6,3,430.15000000000003,143.38333333333335,0.5,0.16666666666666666,5,3,2,10,532,Loyal Customers,2,1,0
12828.0,3,6,1001.76,166.96,2.0,0.3333333333333333,5,4,4,13,544,Champions,2,1,0
12830.0,91,4,2583.2000000000003,645.8000000000001,0.04395604395604396,0.01098901098901099,2,4,5,11,245,At Risk,0,1,0
12831.0,262,1,215.05,215.05,0.003816793893129771,0.003816793893129771,1,1,1,3,111,Lost,5,1,2
12832.0,32,2,383.03,191.515,0.0625,0.03125,3,2,2,7,322,Others,2,1,0
12833.0,145,1,417.38,417.38,0.006896551724137931,0.006896551724137931,2,1,2,5,212,Lost,5,1,0
12834.0,283,1,312.38,312.38,0.0035335689045936395,0.0035335689045936395,1,1,2,4,112,Lost,5,1,2
12836.0,59,4,2428.26,607.065,0.06779661016949153,0.01694915254237288,3,4,5,12,345,Loyal Customers,0,1,0
12837.0,173,1,117.15,117.15,0.005780346820809248,0.005780346820809248,1,1,1,3,111,Lost,5,1,2
12838.0,34,2,631.28,315.64,0.058823529411764705,0.029411764705882353,3,2,3,8,323,Big Spenders,2,1,0
12839.0,3,14,5576.52,398.3228571428572,4.666666666666667,0.3333333333333333,5,5,5,15,555,Champions,1,1,0
12840.0,144,4,2726.77,681.6925,0.027777777777777776,0.006944444444444444,2,4,5,11,245,At Risk,0,1,0
12841.0,5,25,3888.96,155.5584,5.0,0.2,5,5,5,15,555,Champions,1,1,0
12842.0,70,2,1053.99,526.995,0.02857142857142857,0.014285714285714285,2,2,4,8,224,Lost,2,1,0
12843.0,66,8,1674.3700000000001,209.29625000000001,0.12121212121212122,0.015151515151515152,3,5,4,12,354,Loyal Customers,2,1,0
12844.0,29,2,317.41,158.705,0.06896551724137931,0.034482758620689655,4,2,2,8,422,Potential Loyalists,2,1,0
